date,sum_open_interest,sum_open_interest_value,toptrader_ls_ratio,global_ls_ratio,taker_ls_vol_ratio,n_obs
2021-12-01,353363.36900000,1617955458.54137000,0.9824013748,2.162213129336417,1.3666687348,288
2021-12-02,348572.27200000,1571245287.60352000,0.9725763890,2.7134911290649995,0.5710310645,288
2021-12-03,335977.23800000,1422286746.38116504,0.9507364839,3.618480960264901,0.9826762610,288
2021-12-04,289072.53900000,1183843376.57773016,0.9438534436,2.574704178327687,1.9565943442,285
2021-12-05,266118.92400000,1114729506.58993304,0.9668026060,1.9461628490219027,1.0616131287,288
2021-12-06,272000.79100000,1182241858.30612125,0.9334711064,1.6570310628443663,1.0502156702,288
2021-12-07,273947.47500000,1178914699.62771476,0.9426223979,1.565116024917125,1.2579492283,288
2021-12-08,283032.89600000,1253748675.00114214,0.9359406688,1.4148380711872504,2.3737302568,288
2021-12-09,289989.65000000,1199344994.26300000,0.9149026296,2.0041343876690885,0.3148170081,288
2021-12-10,288084.55100000,1120758375.51938000,0.9302901756,2.3621174739211357,0.6929423743,288
2021-12-11,285803.80800000,1167642883.46976000,0.9236201446,2.1368061350180794,1.0382355174,288
2021-12-12,298823.76700000,1235056031.81093070,0.9202873695,1.953004186625429,1.1312814172,288
2021-12-13,307292.55800000,1164506659.02006000,0.8984683158,2.3727053140096617,1.7658783924,288
2021-12-14,298607.33300000,1152715319.38713137,0.9145278557,2.2335154116269997,1.5724367016,288
2021-12-15,309784.02000000,1243914535.43475518,0.9516193132,1.672013175324908,1.3667441537,287
2021-12-16,320551.30900000,1270625853.49438473,0.9335878550,1.8564249820531227,0.9233961155,288
2021-12-17,302258.21800000,1173080383.66663342,0.8945933558,2.15950396422037,1.1873315275,288
2021-12-18,309883.72600000,1227272590.87281022,0.9137182778,1.944726834594676,0.5189884104,288
2021-12-19,311444.96600000,1221144567.18940000,0.9182729697,2.066663989398016,0.9269979267,288
2021-12-20,319684.57300000,1256488245.71920000,0.9093663694,1.8453652902108,0.5243745320,288
2021-12-21,333119.09200000,1338852975.38556146,0.9627966616,1.7026798765632614,0.5021815842,288
2021-12-22,323277.32200000,1286874352.52062773,0.9518234706,1.9613523131672599,0.8431942559,288
2021-12-23,376558.52000000,1546518310.46960000,0.9879041915,1.7720927010080716,2.4928714167,288
2021-12-24,410056.25300000,1656863209.24658027,0.9578700080,2.183778552071235,1.2536090883,287
2021-12-25,445583.60500000,1829254373.60650000,0.9631152365,2.0806133462354386,1.0354801430,288
2021-12-26,437704.37000000,1781374220.20147569,0.9333893504,2.296070835639181,1.4544060774,288
2021-12-27,448067.01200000,1808680742.64956000,0.9269167110,2.6010950801326884,0.4236461533,288
2021-12-28,476109.77900000,1807705042.06936107,0.9033389607,3.1837362637362636,0.4337138129,288
2021-12-29,476487.06000000,1723658166.56649581,0.9026994353,3.2518789928598273,0.8494468819,287
2021-12-30,464957.72800000,1725287787.74092480,,,,288
2021-12-31,476569.70600000,1753242584.47912600,,,,287
2022-01-01,470048.45400000,1770461002.73562700,,,,288
2022-01-02,468997.34300000,1795295999.90863900,,,,288
2022-01-03,475569.79700000,1788153918.78206500,,,,288
2022-01-04,474780.66000000,1800672122.34240000,,,,288
2022-01-05,477274.25700000,1693435882.23198000,,,,288
2022-01-06,481235.95700000,1639854457.78075430,,,,288
2022-01-07,480092.28600000,1531147912.92500660,,,,288
2022-01-08,478486.87100000,1477519608.96090000,,,,288
2022-01-09,474298.82600000,1495084759.31720000,,,,288
2022-01-10,471344.87900000,1451708868.59320620,,,,288
2022-01-11,465334.32200000,1504070495.39417270,,,,288
2022-01-12,455282.37000000,1533509395.57620000,,,,288
2022-01-13,447373.84900000,1452506570.50226000,,,,288
2022-01-14,443571.31700000,1468044655.48165660,,,,288
2022-01-15,459828.27200000,1529954421.44656000,,,,288
2022-01-16,450180.91100000,1506877586.76347520,,,,288
2022-01-17,460106.77500000,1475244953.75025000,,,,288
2022-01-18,467474.85000000,1478679047.53200000,,,,288
2022-01-19,463892.39400000,1432504351.59594000,,2.5006318982222595,,288
2022-01-20,457802.78000000,1373780323.52408600,,3.0468065122103947,,288
2022-01-21,457428.97000000,1168137799.54554800,,2.3042056986729116,,288
2022-01-22,466041.94200000,1119894126.20658000,,1.9383269791433058,,288
2022-01-23,483134.62500000,1226640750.00253700,,1.955788067675868,,288
2022-01-24,475409.77300000,1161763616.37783000,,1.5815899581589958,,288
2022-01-25,467088.85700000,1147833498.96894000,,1.5111203728261282,,288
2022-01-26,470362.03000000,1157782025.98410000,,1.7449930239884783,,288
2022-01-27,473557.17800000,1148292527.60784480,,1.9096021369323772,,288
2022-01-28,496457.69800000,1266135925.51732000,,1.365657205163378,,288
2022-01-29,504724.96000000,1309770769.07391930,,1.3678214120411578,,288
2022-01-30,517909.35800000,1348698117.35496000,0.94312658,1.29852132,1.31367486,288
2022-01-31,530482.58900000,1426144087.44171000,,1.1729097090591811,,288
2022-02-01,528579.87500000,1476122730.52250000,,1.0840986510423762,,288
2022-02-02,512936.43100000,1369926337.58622620,,1.436522036214554,,288
2022-02-03,518718.05900000,1387581182.18618000,,1.2827301587301587,,288
2022-02-04,553112.20300000,1652443641.35561160,,0.9670110474631751,,288
2022-02-05,543970.61500000,1638504768.85380000,,0.9911259012756517,,288
2022-02-06,540197.51200000,1652458787.23288000,,1.1295063081289163,,288
2022-02-07,519454.40200000,1633684094.29000000,,1.23143472997313,,288
2022-02-08,488285.47800000,1523030765.84892000,,1.377635554400442,,288
2022-02-09,505212.06900000,1635191382.30322810,,1.1594705767132103,,288
2022-02-10,485398.94800000,1490043712.64404000,,1.4909215955983495,,288
2022-02-11,478980.23900000,1401291165.80412910,,1.6537678207739308,,288
2022-02-12,478201.83200000,1392363055.59712500,,1.6273886462882097,,288
2022-02-13,478827.92100000,1381916533.12284000,,1.7151611760538434,,288
2022-02-14,486806.14900000,1427257417.19234230,,1.511646038397817,,288
2022-02-15,498473.83100000,1585377634.51947400,,1.3500190936863543,,288
2022-02-16,482200.63900000,1507012964.92762540,,1.5307243851772432,,288
2022-02-17,488228.23000000,1404486149.24100000,,1.900165532462755,,288
2022-02-18,484633.83100000,1349458056.08119000,,1.9147103713932698,,288
2022-02-19,472755.85000000,1307387392.94100000,,1.9616123536448327,,288
2022-02-20,483317.57100000,1267552722.06034700,,1.8659357089459256,,288
2022-02-21,488393.92400000,1250970698.58988050,,1.8355042249363491,,288
2022-02-22,491728.02200000,1296429950.68005560,,1.6492955355627228,,288
2022-02-23,508438.00300000,1315123325.88419750,,1.8710603884815962,,288
2022-02-24,468386.95200000,1214438373.01512000,,1.5414299332697807,,288
2022-02-25,485486.01300000,1341383289.33861000,,1.3750884893104913,,288
2022-02-26,489194.83600000,1357204902.14421820,,1.3542348474931274,,288
2022-02-27,478480.77100000,1253367781.16881230,,1.6782433870776994,,288
2022-02-28,486633.80000000,1419175017.27800000,,1.3393049932523617,,288
2022-03-01,508054.74100000,1509344266.20503000,,1.3257751937984497,,288
2022-03-02,510273.28100000,1504389015.04061940,,1.3445104785736628,,288
2022-03-03,526448.81700000,1492187584.85748000,,1.7561018999501885,,288
2022-03-04,509878.42400000,1332903780.88384000,,1.9428776923950486,,288
2022-03-05,504853.81400000,1345170234.26556180,,2.0566216363834977,,288
2022-03-06,509765.43100000,1299580699.01536370,,2.0409446995716434,,288
2022-03-07,0E-8,0E-8,,2.1487593302400647,,288
2022-03-08,502302.47300000,1293172693.71377000,,1.826268316161004,,288
2022-03-09,492818.72500000,1346020999.03075000,,1.589301487474826,,288
2022-03-10,489803.27400000,1276691825.81196000,,1.9099506266616026,,288
2022-03-11,498118.35000000,1274065832.80122470,,2.046950399493711,,288
2022-03-12,500018.21100000,1286387003.89604600,,1.9412072314358284,,288
2022-03-13,512912.89900000,1291042214.14532640,,2.172821617387899,,288
2022-03-14,502549.13900000,1300245387.33470000,,2.038524063362444,,288
2022-03-15,516437.18900000,1350874558.36686180,,1.6499879555387316,,288
2022-03-16,524475.88800000,1453199397.76709220,,1.3490574855896558,,288
2022-03-17,534913.96300000,1504712977.91900000,,1.1673820872725358,,288
2022-03-18,548323.34100000,1613962338.06645000,,1.0383764196600112,,288
2022-03-19,539327.53500000,1588139992.95797500,,1.0625154435384234,,288
2022-03-20,523472.54900000,1496229518.94276120,,1.2835048647432652,,288
2022-03-21,537140.52900000,1555286787.29013750,,1.3252760702066702,,288
2022-03-22,565207.36800000,1677857636.42376000,,1.2661533937498328,,288
2022-03-23,534328.74300000,1619117613.75117000,,1.2785836886108188,,288
2022-03-24,583107.74000000,1812240545.14600000,,0.9744916735670255,,288
2022-03-25,560671.42000000,1741965375.08763380,,1.074069521608732,,288
2022-03-26,565851.10600000,1776783789.86212000,,1.0740542902928178,,288
2022-03-27,577799.44300000,1902076032.78125720,,0.98514210307666,,288
2022-03-28,543971.66400000,1808483559.47406390,,1.016618259881298,,288
2022-03-29,527228.72400000,1794106673.88969300,,1.1350622673000386,,288
2022-03-30,522149.68700000,1767497165.61333420,,1.225641999078016,,288
2022-03-31,512347.12800000,1681361243.09738370,,1.2507268448013291,,288
2022-04-01,517616.86400000,1783697361.00672000,,1.1388727022302272,,288
2022-04-02,516238.13100000,1775007377.72385000,,1.1291388144718704,,288
2022-04-03,544567.45700000,1917089829.94823000,,1.1850186062699113,,288
