snap_ts,instrument_name,underlying_price,mark_price,mark_iv,open_interest,bid_price,ask_price,volume,volume_usd
1788239347308,ETH-25JUN27-2200-P,2551.53,0.124169,55.87,387.0,0.1225,0.126,0.0,0.0
1788239347308,ETH-18SEP26-3200-C,2479.6,0.001458,60.52,954.0,0.0013,0.0016,0.0,0.0
1788239347308,ETH-11SEP26-2450-C,2477.57,0.035839,45.34,1437.0,0.035,0.0365,176.0,14538.38
1788239347308,ETH-25DEC26-8000-P,2498.18,2.202817,73.42,0.0,2.1785,2.233,0.0,0.0
1788239347308,ETH-3SEP26-2620-C,2475.15,0.001393,52.1,115.0,0.0012,0.0015,12.0,36.72
1788239347308,ETH-30OCT26-2500-C,2488.0,0.077697,49.85,2824.0,0.0775,0.0785,193.0,34484.77
1788239347308,ETH-27NOV26-2400-C,2493.76,0.11708,50.91,307.0,0.112,0.1225,0.0,0.0
1788239347308,ETH-26MAR27-3300-P,2523.13,0.381232,55.27,1.0,0.3705,0.393,0.0,0.0
1788239347308,ETH-3SEP26-2420-C,2475.15,0.027161,43.61,1.0,0.024,0.0305,1.0,60.35
1788239347308,ETH-3SEP26-2750-C,2475.15,0.000297,64.48,137.0,0.0002,0.0004,37.0,47.81
1788239347308,ETH-2SEP26-2240-P,2474.8,6.5e-05,70.78,85.0,,0.0002,5.0,1.23
1788239347308,ETH-25DEC26-1400-C,2498.18,0.44599,64.82,938.0,0.443,0.449,0.0,0.0
1788239347308,ETH-26MAR27-2600-P,2523.13,0.180326,54.49,626.0,0.1785,0.182,0.0,0.0
1788239347308,ETH-11SEP26-2550-P,2477.57,0.047839,46.11,372.0,0.0445,0.0515,0.0,0.0
1788239347308,ETH-25SEP26-4600-C,2482.72,0.000109,80.12,4400.0,,0.0002,0.0,0.0
1788239347308,ETH-26MAR27-2800-C,2523.13,0.122009,54.59,5052.0,0.1205,0.1235,0.0,0.0
1788239347308,ETH-3SEP26-2320-C,2475.15,0.063444,51.04,0.0,0.06,0.0665,0.0,0.0
1788239347308,ETH-2SEP26-2800-C,2474.8,1.9e-05,74.99,684.0,,0.0001,0.0,0.0
